RR Publisher,RR Name,Id,Level 1 Indicator,Level 2 Indicator,Level 3 Indicator,Level 4 Indicator,Dependencies,Calculation,Score Low,Score High,Measure,Level,Data Source,Survey Instrument,Collection Method
World Bank,Ease of Doing Business Index,edbi_ri_5_b,,,Management of debtor's assets index ,,"edbi_ri_5_b1, edbi_ri_5_b2, edbi_ri_5_b3, edbi_ri_5_b4, edbi_ri_5_b5, edbi_ri_5_b6",,0,6,,3rd order index,,,
World Bank,Ease of Doing Business Index,edbi_ri_5_b1,,,,Whether the debtor (or an insolvency representative on its behalf) can continue performing contracts essential to the debtor’s survival,,A score of 1 is assigned if yes; 0 if continuation of contracts is not possible or if the law contains no provisions on this subject,0,1,,variable,,,
World Bank,Ease of Doing Business Index,edbi_ri_5_b2,,,,Whether the debtor (or an insolvency representative on its behalf) can reject overly burdensome contracts,,A score of 1 is assigned if yes; 0 if rejection of contracts is not possible,0,1,,variable,,,
World Bank,Ease of Doing Business Index,edbi_ri_5_b3,,,,Whether transactions entered into before commencement of insolvency proceedings that give preference to one or several creditors can be avoided after proceedings are initiated,,A score of 1 is assigned if yes; 0 if avoidance of such transactions is not possible,0,1,,variable,,,
World Bank,Ease of Doing Business Index,edbi_ri_5_b4,,,,Whether undervalued transactions entered into before commencement of insolvency proceedings can be avoided after proceedings are initiated,,A score of 1 is assigned if yes; 0 if avoidance of such transactions is not possible,0,1,,variable,,,
World Bank,Ease of Doing Business Index,edbi_ri_5_b5,,,,"Whether the insolvency framework includes specific provisions that allow the debtor (or an insolvency representative on its behalf), after commencement of insolvency proceedings, to obtain financing necessary to function during the proceedings",,A score of 1 is assigned if yes; 0 if obtaining post-commencement finance is not possible or if the law contains no provisions on this subject,0,1,,variable,,,
World Bank,Ease of Doing Business Index,edbi_ri_5_b6,,,,Whether post-commencement finance receives priority over ordinary unsecured creditors during distribution of assets,,"A score of 1 is assigned if yes; 0.5 if post-commencement finance is granted superpriority over all creditors, secured and unsecured; 0 if no priority is granted to post-commencement finance",0,1,,variable,,,
World Bank,Ease of Doing Business Index,edbi_ri_5_c,,,Reorganization proceedings index,,"edbi_ri_5_c1, edbi_ri_5_c2, edbi_ri_5_c3",,0,3,,3rd order index,,,
World Bank,Ease of Doing Business Index,edbi_ri_5_c1,,,,Whether the reorganization plan is voted on only by the creditors whose rights are modified or affected by the plan,,"A score of 1 is assigned if yes; 0.5 if all creditors vote on the plan, regardless of its impact on their interests; 0 if creditors do not vote on the plan or if reorganization is not available",0,1,,variable,,,
World Bank,Ease of Doing Business Index,edbi_ri_5_c2,,,,"Whether creditors entitled to vote on the plan are divided into classes, each class votes separately and the creditors within each class are treated equally",,A score of 1 is assigned if the voting procedure has these three features; 0 if the voting procedure does not have these three features or if reorganization is not available,0,1,,variable,,,
World Bank,Ease of Doing Business Index,edbi_ri_5_c3,,,,Whether the insolvency framework requires that dissenting creditors receive as much under the reorganization plan as they would have received in liquidation,,A score of 1 is assigned if yes; 0 if no such provisions exist or if reorganization is not available,0,1,,variable,,,
World Bank,Ease of Doing Business Index,edbi_ri_5_d,,,Creditor participation index,,"edbi_ri_5_d1, edbi_ri_5_d2, edbi_ri_5_d3, edbi_ri_5_d4",,0,4,,3rd order index,,,
World Bank,Ease of Doing Business Index,edbi_ri_5_d1,,,,Whether creditors participate in the selection of an insolvency representative,,A score of 1 is assigned if yes; 0 if no,0,1,,variable,,,
World Bank,Ease of Doing Business Index,edbi_ri_5_d2,,,,Whether creditors are required to approve the sale of substantial assets of the debtor in the course of insolvency proceedings,,A score of 1 is assigned if yes; 0 if no,0,1,,variable,,,
World Bank,Ease of Doing Business Index,edbi_ri_5_d3,,,,"Whether an individual creditor has the right to access financial information about the debtor during insolvency proceedings, either by requesting it from an insolvency representative or by reviewing the official records",,A score of 1 is assigned if yes; 0 if no,0,1,,variable,,,
World Bank,Ease of Doing Business Index,edbi_ri_5_d4,,,,Whether an individual creditor can object to a decision of the court or of the insolvency representative to approve or reject claims against the debtor brought by the creditor itself and by other creditors,,A score of 1 is assigned if yes; 0 if no,0,1,,variable,,,
